"Deferred Expense","المصاريف الآجلة"
"Debug Log","سجل التصحيح"
"Deductee Details","تفاصيل المخصوم منه"
"Deductions or Loss","الاستقطاعات أو الخسائر"
"Default","افتراضي"
"Default Account","الحساب الافتراضي"
"Default Accounts","الحسابات الافتراضية"
"Default Advance Account","حساب الدفعات المقدمة الافتراضي"
"Default Advance Paid Account","حساب الدفعات المقدمة المدفوعة الافتراضي"
"Default Advance Received Account","حساب الدفعات المقدمة المستلمة الافتراضي"
"Default Amendment Naming","تسمية التعديل الافتراضية"
"Default App","التطبيق الافتراضي"
"Default Bank Account","الحساب البنكي الافتراضي"
"Default Billing Rate","معدل الفوترة الافتراضي"
"Default BOM","قائمة المواد الافتراضية"
"Default Buying Cost Center","مركز تكلفة المشتريات الافتراضي"
"Default Buying Price List","قائمة أسعار الشراء الافتراضية"
"Default Buying Terms","شروط الشراء الافتراضية"
"Default Cash Account","حساب الصندوق الافتراضي"
"Default Common Code","الرمز المشترك الافتراضي"
"Default Company","الشركة الافتراضية"
"Default Company Bank Account","الحساب البنكي الافتراضي للشركة"
"Default Cost Center","مركز التكلفة الافتراضي"
"Default Cost of Goods Sold Account","حساب تكلفة البضاعة المباعة الافتراضي"
"Default Costing Rate","معدل التكلفة الافتراضي"
"Default Currency","العملة الافتراضية"
"Default Customer Group","مجموعة العملاء الافتراضية"
"Default Deferred Expense Account","حساب المصروفات المؤجلة الافتراضي"
"Default Deferred Revenue Account","حساب الإيرادات المؤجلة الافتراضي"
"Default Dimension","البُعد الافتراضي"
"Default Discount Account","حساب الخصم الافتراضي"
"Default Distance Unit","وحدة المسافة الافتراضية"
"Default Email Template","قالب البريد الإلكتروني الافتراضي"
"Default Expense Account","حساب المصروفات الافتراضي"
"Default Finance Book","دفتر الأستاذ المالي الافتراضي"
"Default Finished Goods Warehouse","مستودع المنتج النهائي الافتراضي"
"Default Holiday List","قائمة العطلات الافتراضية"
"Default In-Transit Warehouse","مستودع بضاعة بالطريق الافتراضي"
"Default Income Account","حساب الإيرادات الافتراضي"
"Default Incoming","الوارد الافتراضي"
"Default Inventory Account","حساب المخزون الافتراضي"
"Default Item Group","مجموعة الأصناف الافتراضية"
"Default Item Manufacturer","مصنِّع الصنف الافتراضي"
"Default Letter Head","ترويسة الخطاب الافتراضية"
"Default Manufacturer Part No","رقم قطعة المصنِّع الافتراضي"
"Default Material Request Type","نوع طلب المواد الافتراضي"
"Default Operating Cost Account","حساب تكاليف التشغيل الافتراضي"
"Default Outgoing","الصادر الافتراضي"
"Default Payable Account","حساب الذمم الدائنة الافتراضي"
"Default Payment Discount Account","حساب خصم السداد الافتراضي"
"Default Payment Request Message","رسالة طلب السداد الافتراضية"
"Default Payment Terms Template","قالب شروط السداد الافتراضي"
"Default Portal Home","الصفحة الرئيسية الافتراضية للبوابة"
"Default Price List","قائمة الأسعار الافتراضية"
"Default Print Format","تنسيق الطباعة الافتراضي"
"Default Print Language","لغة الطباعة الافتراضية"
"Default Priority","الأولوية الافتراضية"
"Default Provisional Account","الحساب المؤقت الافتراضي"
"Default Purchase Unit of Measure","وحدة قياس الشراء الافتراضية"
"Default Quotation Validity Days","صلاحية عرض السعر الافتراضية بالأيام"
"Default Receivable Account","حساب الذمم المدينة الافتراضي"
"Default Redirect URI","رمز إعادة التوجيه الافتراضي (URI)"
"Default Role at Time of Signup","الدور الافتراضي عند التسجيل"
"Default Sales Unit of Measure","وحدة قياس المبيعات الافتراضية"
"Default Scrap Warehouse","مستودع الخردة الافتراضي"
"Default Selling Cost Center","مركز تكلفة المبيعات الافتراضي"
"Default Selling Terms","شروط البيع الافتراضية"
"Default Service Level Agreement","اتفاقية مستوى الخدمة الافتراضية"
"Default Sort Field","حقل الفرز الافتراضي"
"Default Sort Order","ترتيب الفرز الافتراضي"
"Default Source Warehouse","المستودع المرسل الافتراضي"
"Default Stock UOM","وحدة قياس المخزون الافتراضية"
"Default Supplier","المورّد الافتراضي"
"Default Supplier Group","مجموعة المورّدين الافتراضية"
"Default Target Warehouse","المستودع المستقبل الافتراضي"
"Default Template For Field","القالب الافتراضي للحقل"
"Default Territory","المنطقة الافتراضية"
"Default Unit of Measure","وحدة القياس الافتراضية"
"Default User Role","دور المستخدم الافتراضي"
"Default User Type","نوع المستخدم الافتراضي"
"Default Valuation Method","طريقة التقييم الافتراضية"
"Default Value","القيمة الافتراضية"
"Default View","العرض الافتراضي"
"Default Warehouse","المستودع الافتراضي"
"Default Warehouse for Sales Return","المستودع الافتراضي لمرتجع المبيعات"
"Default Warehouses for Production","المستودعات الافتراضية للإنتاج"
"Default Work In Progress Warehouse","مستودع تحت التشغيل الافتراضي"
"Default Workspace","مساحة العمل الافتراضية"
"Default Workstation","محطة العمل الافتراضية"
"Defaults","الإعدادات الافتراضية"
"Deferred Accounting","المحاسبة المؤجلة"
"Deferred Accounting Defaults","الإعدادات الافتراضية للمحاسبة المؤجلة"
"Deferred Accounting Settings","إعدادات المحاسبة المؤجلة"
"Deferred Expense","مصروف مؤجل"
"Deferred Expense Account","حساب المصروفات المؤجلة"
"Deferred Revenue","إيراد مؤجل"
"Deferred Revenue Account","حساب الإيرادات المؤجلة"
"Delay between Delivery Stops","التأخير بين محطات التسليم"
"Delete","حذف"
"Delete Accounting and Stock Ledger Entries on deletion of Transaction","حذف قيود المحاسبة ودفتر أستاذ المخزون عند حذف الحركة"
"Delete Bins","حذف مواقع التخزين"
"Delete Cancelled Ledger Entries","حذف قيود الأستاذ الملغاة"
"Delete Leads and Addresses","حذف العملاء المحتملين والعناوين"
"Delete Transactions","حذف الحركات"
"Deleted DocType","نوع المستند المحذوف"
"Deleted Name","الاسم المحذوف"
"Deletion Steps ","خطوات الحذف"
"Delimiter options","خيارات الفاصل"
"DeLinked","غير مربوط"
"Delivered By Supplier","تم التسليم بواسطة المورّد"
"Delivered by Supplier (Drop Ship)","تم التسليم بواسطة المورّد (شحن مباشر)"
"Delivered Qty","الكمية المسلَّمة"
"Delivery Date","تاريخ التسليم"
"Delivery Details","تفاصيل التسليم"
"Delivery Note Item","بند إذن التسليم"
"Delivery Note No","رقم إذن التسليم"
"Delivery Note Packed Item","بند معبأ في إذن التسليم"
"Delivery Status","حالة التسليم"
"Delivery Stop","محطة تسليم"
"Delivery Stops","محطات التسليم"
"Delivery to","تسليم إلى"
"Delivery Warehouse","مستودع التسليم"
"Demo Company","شركة تجريبية"
"Departure Time","وقت المغادرة"
"Dependant SLE Voucher Detail No","رقم تفصيل السند التابع لاتفاقية مستوى الخدمة"
"Dependencies","التبعيات"
"Dependent Tasks","المهام التابعة"
"Depends On","يعتمد على"
"Depends on Tasks","يعتمد على المهام"
"Deposit","إيداع"
"Depreciate based on daily pro-rata","الإهلاك على أساس يومي"
"Depreciate based on shifts","الإهلاك على أساس الورديات"
"Depreciation","الإهلاك"
"Depreciation Amount","مبلغ الإهلاك"
"Depreciation Details","تفاصيل الإهلاك"
"Depreciation Entry Posting Status","حالة ترحيل قيد الإهلاك"
"Depreciation Expense Account","حساب مصروف الإهلاك"
"Depreciation Method","طريقة الإهلاك"
"Depreciation Options","خيارات الإهلاك"
"Depreciation Posting Date","تاريخ ترحيل الإهلاك"
"Depreciation Schedule","جدول الإهلاك"
"Depreciation Schedule View","عرض جدول الإهلاك"
"Description","الوصف"
"Description of Content","وصف المحتوى"
"Desk Access","الوصول لسطح المكتب"
"Desk Settings","إعدادات سطح المكتب"
"Desk Theme","سمة سطح المكتب"
"Detailed Reason","سبب مفصل"
"Details","التفاصيل"
"Determine Address Tax Category From","تحديد فئة ضريبة العنوان من"
"Difference","الفرق"
"Difference (Dr - Cr)","الفرق (مدين - دائن)"
"Difference Account","حساب الفروقات"
"Difference Amount","مبلغ الفرق"
"Difference Amount (Company Currency)","مبلغ الفرق (بعملة الشركة)"
"Difference Posting Date","تاريخ ترحيل الفرق"
"Digits","الأرقام"
"Dimension Defaults","الإعدادات الافتراضية للبُعد"
